date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:50	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:05:52%20GMT	http://192.168.43.61:8081/robots.txt		(from )
15:35:50	23872/23872	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2010:05:52%20GMT	http://192.168.43.61:8081/	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/index.html	(from )
15:35:50	43/43	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2003%20May%202020%2010:05:53%20GMT	http://192.168.43.61:8081/xmlrpc.php	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/xmlrpc.php	(from http://192.168.43.61:8081/)
15:35:50	2234/2234	---M-Z	200	added ('OK')	application/javascript	etag:%228ba-5834f701a9a80-gzip%22	http://192.168.43.61:8081/wp-includes/js/comment-reply.min.js?ver=5.1.5	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-includes/js/comment-reply.minc6ac.js	(from http://192.168.43.61:8081/)
15:35:50	192317/192317	---M-Z	200	added ('OK')	text/css	etag:%222ef3d-5a42f87b1f2b0-gzip%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/css/style.minc6ac.css	(from http://192.168.43.61:8081/)
15:35:52	25242/25242	---M-Z	200	added ('OK')	text/css	etag:%22629a-57ea707ad7640-gzip%22	http://192.168.43.61:8081/wp-includes/css/dist/block-library/style.min.css?ver=5.1.5	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-includes/css/dist/block-library/style.minc6ac.css	(from http://192.168.43.61:8081/)
15:35:52	1114/1114	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d771cfec086b3d698a77688f4610c4f3-gzip%22	http://192.168.43.61:8081/?feed=rss2	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/indexd784.html	(from http://192.168.43.61:8081/)
15:35:52	772/772	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a42cadae122dc97bf9d408b28d40b6e6-gzip%22	http://192.168.43.61:8081/?feed=comments-rss2	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/indexa6da.html	(from http://192.168.43.61:8081/)
15:35:52	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400-gzip%22	http://192.168.43.61:8081/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://192.168.43.61:8081/)
15:35:53	831/831	---M-Z	200	added ('OK')	text/xml	date:Sun,%2003%20May%202020%2010:05:55%20GMT	http://192.168.43.61:8081/xmlrpc.php?rsd	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/xmlrpc0db0.php	(from http://192.168.43.61:8081/)
15:35:53	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0-gzip%22	http://192.168.43.61:8081/wp-includes/wlwmanifest.xml	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-includes/wlwmanifest.xml	(from http://192.168.43.61:8081/)
15:35:54	2242/2242	---M--	200	added ('OK')	application/json	date:Sun,%2003%20May%202020%2010:05:56%20GMT	http://192.168.43.61:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2F192.168.43.61%3A8081%2F	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/index224b.json	(from http://192.168.43.61:8081/)
15:35:54	2324/2324	---M-Z	200	added ('OK')	text/xml	date:Sun,%2003%20May%202020%2010:05:56%20GMT	http://192.168.43.61:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2F192.168.43.61%3A8081%2F&format=xml	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/indexab15.php	(from http://192.168.43.61:8081/)
15:35:54	1189/1189	---M--	200	added ('OK')	image/jpeg	etag:%224a5-5a430281d52fa%22	http://192.168.43.61:8081/wp-content/uploads/2020/04/cropped-AI-2-32x32.jpeg	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/uploads/2020/04/cropped-AI-2-32x32.jpg	(from http://192.168.43.61:8081/)
15:35:56	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%2217a69-5a4bad9a7b4a1-gzip%22	http://192.168.43.61:8081/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-includes/js/jquery/jqueryb8ff.js	(from http://192.168.43.61:8081/)
15:35:56	15932/15932	---M--	200	added ('OK')	image/jpeg	etag:%223e3c-5a430281cc65a%22	http://192.168.43.61:8081/wp-content/uploads/2020/04/cropped-AI-2-192x192.jpeg	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/uploads/2020/04/cropped-AI-2-192x192.jpg	(from http://192.168.43.61:8081/)
15:35:56	14876/14876	---M--	200	added ('OK')	image/jpeg	etag:%223a1c-5a430281d2032%22	http://192.168.43.61:8081/wp-content/uploads/2020/04/cropped-AI-2-180x180.jpeg	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/uploads/2020/04/cropped-AI-2-180x180.jpg	(from http://192.168.43.61:8081/)
